epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,204.459,1.51037,2.83471,0.01424,0.66039,0.48806,0.54529,0.30394,1.55084,1.6385,0.01907,0.00998498,0.00332833,0.00998498,0.00332833,0.00998498,0.00332833,0.00998498,0.00332833
2,361.358,1.58275,1.76838,0.01544,0.62166,0.50347,0.54709,0.29634,1.66947,1.59755,0.02179,0.0197871,0.00659571,0.0197871,0.00659571,0.0197871,0.00659571,0.0197871,0.00659571
3,492.944,1.67581,1.79049,0.01687,0.62597,0.42193,0.47483,0.23876,1.8109,1.92364,0.02446,0.0293913,0.00979709,0.0293913,0.00979709,0.0293913,0.00979709,0.0293913,0.00979709
4,628.204,1.74889,1.84906,0.01781,0.60445,0.42849,0.46811,0.23925,1.78897,1.89448,0.02438,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,763.214,1.74317,1.78764,0.01767,0.62558,0.47423,0.52201,0.26675,1.77358,1.72679,0.02388,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,897.291,1.71634,1.7181,0.0171,0.60668,0.41537,0.46376,0.22549,1.87217,1.865,0.02673,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1030.45,1.70384,1.66207,0.01687,0.67728,0.49316,0.54419,0.28012,1.75778,1.69797,0.02377,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1162.63,1.68179,1.60875,0.01682,0.63763,0.49878,0.55217,0.28198,1.74927,1.61862,0.02308,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1291.02,1.66152,1.59714,0.01648,0.6524,0.53252,0.58111,0.30601,1.72584,1.49582,0.02252,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1417.47,1.66118,1.5573,0.01625,0.67987,0.53458,0.59322,0.31275,1.72857,1.47649,0.02248,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1544.28,1.65656,1.54759,0.01589,0.66802,0.50347,0.57066,0.30459,1.69259,1.57912,0.02203,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1671.02,1.63556,1.51188,0.01587,0.6624,0.53102,0.59599,0.32404,1.69304,1.46844,0.0222,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1797.32,1.61403,1.47778,0.01578,0.70424,0.53157,0.60359,0.32498,1.69001,1.43448,0.02168,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1923.45,1.61098,1.45227,0.01554,0.69352,0.54339,0.61097,0.3367,1.65889,1.41862,0.02103,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2052.52,1.60841,1.45566,0.01559,0.69527,0.55211,0.61851,0.33673,1.65531,1.39702,0.02135,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2183.41,1.59874,1.43,0.01536,0.68291,0.52157,0.58972,0.32358,1.66535,1.46865,0.0218,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2315.84,1.59528,1.41881,0.01537,0.70066,0.54361,0.61577,0.34462,1.63345,1.4181,0.02065,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2448.92,1.58826,1.39927,0.01543,0.70264,0.55801,0.62989,0.35045,1.62985,1.35406,0.0209,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2576.71,1.5804,1.40088,0.01514,0.70294,0.55258,0.63189,0.3554,1.60893,1.38027,0.02022,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2707.99,1.5695,1.38248,0.01493,0.7216,0.56926,0.64483,0.35742,1.63528,1.33224,0.02096,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2838.76,1.57351,1.36678,0.01515,0.70188,0.57638,0.63685,0.35501,1.6226,1.34585,0.02061,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2969.9,1.55844,1.34288,0.01491,0.70961,0.57529,0.6467,0.35963,1.60809,1.31079,0.02024,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3097.13,1.56652,1.34239,0.0149,0.72149,0.56473,0.64215,0.36245,1.612,1.33789,0.02022,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3224.11,1.55379,1.33184,0.01473,0.72263,0.56364,0.64424,0.36604,1.58272,1.32476,0.01973,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3352.58,1.54454,1.32461,0.01478,0.7111,0.58332,0.65195,0.36636,1.62157,1.31691,0.02031,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3478.53,1.54566,1.30353,0.01465,0.72069,0.57488,0.65472,0.37562,1.5911,1.27973,0.01979,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3607.38,1.53344,1.30201,0.01456,0.70408,0.57826,0.64915,0.37141,1.57549,1.30967,0.01954,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3735.51,1.53855,1.28545,0.01454,0.7148,0.58782,0.65715,0.37597,1.59213,1.28303,0.01964,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3862.89,1.52513,1.27677,0.01443,0.7175,0.5889,0.66325,0.37921,1.57474,1.27929,0.01915,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3993.05,1.5268,1.27251,0.01463,0.7211,0.58313,0.65914,0.38203,1.56391,1.26776,0.01924,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4123.67,1.52443,1.24458,0.01426,0.74045,0.5834,0.66338,0.38262,1.57255,1.25843,0.01936,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4257.87,1.52015,1.25696,0.01423,0.72327,0.588,0.6604,0.38152,1.56071,1.26717,0.0191,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4387.69,1.50881,1.24398,0.01404,0.71553,0.60489,0.67193,0.38853,1.55556,1.25145,0.01894,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4516.92,1.49092,1.23794,0.01399,0.71975,0.60173,0.67061,0.39216,1.54688,1.25123,0.01884,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4648.22,1.49342,1.22741,0.0142,0.74422,0.58463,0.66872,0.39137,1.54911,1.25676,0.01897,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4778.58,1.48974,1.21788,0.01407,0.73579,0.6003,0.67761,0.39736,1.55044,1.22679,0.0188,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4908.73,1.49236,1.20099,0.01397,0.73037,0.6,0.67346,0.39456,1.54422,1.25368,0.01865,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5042.11,1.4844,1.21385,0.01389,0.73876,0.6048,0.68253,0.40133,1.54406,1.23925,0.01863,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5174.17,1.47983,1.20465,0.01378,0.7504,0.59288,0.67553,0.39874,1.54155,1.2534,0.01844,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5301.7,1.47596,1.19259,0.01383,0.75207,0.58677,0.67436,0.39436,1.54478,1.24319,0.01888,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5430,1.46437,1.17886,0.0139,0.73855,0.60037,0.67585,0.39738,1.54428,1.23105,0.01868,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5556.98,1.48198,1.18665,0.01367,0.7387,0.60019,0.67892,0.39979,1.52851,1.21957,0.01848,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5704.55,1.47543,1.18067,0.01375,0.74163,0.59777,0.67296,0.40005,1.53925,1.23731,0.01872,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5830.09,1.46299,1.15744,0.01347,0.7469,0.59682,0.67469,0.40091,1.53148,1.2437,0.01846,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5956.6,1.46473,1.18147,0.01364,0.73039,0.60094,0.67625,0.39912,1.53555,1.23703,0.0186,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6085.29,1.45397,1.15209,0.01353,0.74822,0.5938,0.67945,0.40593,1.52213,1.2389,0.01829,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6212.63,1.44413,1.13776,0.01337,0.74652,0.60112,0.67989,0.40704,1.52523,1.22744,0.01834,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6342.24,1.4446,1.13879,0.01347,0.74471,0.60918,0.68178,0.40617,1.52165,1.2282,0.01824,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6470.31,1.4451,1.12969,0.01328,0.74608,0.61462,0.68769,0.40847,1.51353,1.22295,0.01823,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6600.33,1.44292,1.12572,0.01321,0.74951,0.60517,0.68335,0.40602,1.5196,1.22937,0.01831,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6727.8,1.4345,1.12233,0.01334,0.74926,0.60544,0.68251,0.40669,1.52186,1.23387,0.01825,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6853.46,1.42649,1.09911,0.01309,0.74518,0.61012,0.68571,0.40757,1.52818,1.22007,0.01832,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
